Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Tim Anderson,White Sox,123,498,518,167,117,32,0,18,81,56,15,0,109,3,2,0,12,17,5,0.335,15172
Christian Yelich,Brewers,130,489,580,161,85,29,3,44,100,97,80,16,118,8,3,0,8,30,2,0.329,11477
Ketel Marte,Diamondbacks,144,569,628,187,110,36,9,32,97,92,53,2,86,4,2,0,7,10,2,0.329,13613
DJ LeMahieu,Yankees,145,602,655,197,136,33,2,26,109,102,46,0,90,2,4,1,14,5,2,0.327,9874
Anthony Rendon,Nationals,146,545,646,174,93,44,3,34,117,126,80,8,86,12,9,0,13,5,1,0.319,12861
Jeff McNeil,Mets,133,510,567,162,100,38,1,23,83,75,35,2,75,21,1,0,5,5,6,0.318,15362
Yoan Moncada,White Sox,132,511,559,161,97,34,5,25,83,79,40,2,154,4,3,1,1,10,3,0.315,17232
Nolan Arenado,Rockies,155,588,662,185,111,31,2,41,102,118,62,11,93,4,8,0,14,3,2,0.315,9777
Charlie Blackmon,Rockies,140,580,634,182,101,42,7,32,112,86,40,1,104,9,5,0,11,2,5,0.314,7859
Bryan Reynolds,Pirates,134,491,546,154,97,37,4,16,83,68,46,0,121,6,3,0,9,3,2,0.314,19326
Michael Brantley,Astros,148,575,637,179,115,40,2,22,88,90,51,3,66,7,4,0,21,3,2,0.311,4106
Rafael Devers,Red Sox,156,647,702,201,111,54,4,32,129,115,48,7,119,4,2,1,8,8,8,0.311,17350
Nelson Cruz,Twins,120,454,521,141,74,26,0,41,81,108,56,8,131,7,3,0,14,0,1,0.311,2434
Xander Bogaerts,Red Sox,155,614,698,190,105,52,0,33,110,117,76,2,122,2,6,0,11,4,2,0.309,12161
Kevin Newman,Pirates,130,493,531,152,114,20,6,12,61,64,28,2,62,7,1,2,5,16,8,0.308,17696
Hanser Alberto,Orioles,139,524,550,160,125,21,2,12,62,51,16,1,50,4,3,3,9,4,4,0.305,11902
Cody Bellinger,Dodgers,156,558,660,170,86,34,3,47,121,115,95,21,108,3,4,0,10,15,5,0.305,15998
J.D. Martinez,Red Sox,146,575,657,175,104,33,2,36,98,105,72,9,138,4,5,0,19,2,0,0.304,6184
Whit Merrifield,Royals,162,681,735,206,139,41,10,16,105,74,45,5,126,5,4,0,8,20,10,0.302,11281
Jose Altuve,Astros,124,500,548,149,88,27,3,31,89,74,41,0,82,3,3,1,19,6,5,0.298,5417
