"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Christian Yelich","Brewers","7.86","-8.02","15.88","68.58","7.18","0.97","2.22","4","7.75","0.37","11477"
"Cody Bellinger","Dodgers","6.01","-9.84","15.85","70.94","7.57","0.96","1.58","3","7.25","-0.99","15998"
"Mike Trout","Angels","5.62","-8.04","13.66","71.47","7.43","0.95","0.97","1","7.22","-1.29","10155"
"Anthony Rendon","Nationals","5.62","-9.58","15.20","71.98","7.51","0.96","","0","5.26","0.61","12861"
"Bryce Harper","Phillies","5.54","-10.39","15.93","56.51","5.92","0.98","0.68","3","4.21","1.46","11579"
"Matt Olson","Athletics","5.38","-7.72","13.10","34.56","3.59","0.93","","0","3.39","2.38","14344"
"Max Muncy","Dodgers","5.38","-8.54","13.91","46.43","4.92","0.97","1.54","9","4.27","1.28","13301"
"Freddie Freeman","Braves","5.32","-9.60","14.92","60.13","6.25","0.91","1.18","1","5.05","0.81","5361"
"Ronald Acuna Jr.","Braves","5.16","-10.62","15.78","47.89","5.00","0.94","1.18","2","4.41","1.08","18401"
"Anthony Rizzo","Cubs","5.12","-8.55","13.68","53.39","5.57","0.93","1.31","2","4.38","1.15","3473"
"Alex Bregman","Astros","4.99","-8.98","13.97","59.86","6.27","0.89","","0","6.79","-1.17","17678"
"Xander Bogaerts","Red Sox","4.74","-10.94","15.67","45.99","4.35","1.02","1.23","1","3.27","1.36","12161"
"Peter Alonso","Mets","4.49","-11.25","15.74","50.59","5.49","0.99","0.69","7","5.70","-1.16","19251"
"Mookie Betts","Red Sox","4.46","-10.37","14.83","47.95","4.74","0.97","","0","3.61","0.98","13611"
"Nolan Arenado","Rockies","4.31","-10.59","14.90","48.16","4.55","0.99","1.94","2","3.97","0.37","9777"
"Matt Chapman","Athletics","4.25","-10.09","14.33","35.03","3.66","0.92","","0","3.15","1.46","16505"
"Juan Soto","Nationals","4.19","-10.02","14.21","44.90","4.67","0.99","","0","4.75","-0.51","20123"
"Charlie Blackmon","Rockies","4.02","-10.38","14.40","35.85","3.20","0.96","2.06","4","3.02","1.15","7859"
"Michael Brantley","Astros","3.98","-9.58","13.57","33.52","3.53","0.95","2.54","5","2.54","1.67","4106"
"Kris Bryant","Cubs","3.88","-9.05","12.93","36.82","3.88","0.91","0.40","2","3.57","0.70","15429"
"Carlos Santana","Indians","3.86","-9.92","13.78","33.60","3.30","0.91","","0","4.07","0.17","2396"
"Ketel Marte","Diamondbacks","3.82","-9.47","13.29","51.35","5.26","0.93","1.51","3","4.80","-0.70","13613"
"Eugenio Suarez","Reds","3.80","-11.74","15.54","36.91","3.84","1.05","2.30","5","4.80","-1.18","12552"
"Josh Bell","Pirates","3.76","-9.51","13.27","44.73","4.73","1.00","2.52","3","3.83","-0.07","13145"
"Paul Goldschmidt","Cardinals","3.73","-10.66","14.40","34.51","3.71","0.96","4.28","3","2.89","1.02","9218"
"Nelson Cruz","Twins","3.62","-7.55","11.17","49.66","4.97","0.94","1.41","7","4.34","-0.49","2434"
"Shin-Soo Choo","Rangers","3.46","-9.15","12.62","29.19","2.84","0.92","1.85","9","2.34","1.44","3174"
"DJ LeMahieu","Yankees","3.43","-9.56","13.00","51.92","5.22","0.89","1.84","1","3.51","0.34","9874"
"Bryan Reynolds","Pirates","3.24","-8.06","11.30","35.35","3.72","0.97","1.11","8","2.48","0.86","19326"
"Austin Meadows","Rays","3.14","-9.13","12.27","36.05","3.71","0.97","1.22","8","4.48","-1.25","15672"
"Max Kepler","Twins","3.01","-9.23","12.24","28.27","2.90","0.94","1.89","4","2.67","0.55","12144"
"Jose Abreu","White Sox","2.94","-11.28","14.23","27.15","2.81","0.93","","0","2.84","0.34","15676"
"Marcus Semien","Athletics","2.92","-11.20","14.12","50.06","5.14","0.89","","0","4.17","-0.90","12533"
"Trea Turner","Nationals","2.87","-8.73","11.59","19.77","2.13","0.90","0.62","1","2.07","1.11","16252"
"Nicholas Castellanos","- - -","2.79","-10.64","13.43","26.61","2.79","0.92","","0","3.21","-0.17","11737"
"Yuli Gurriel","Astros","2.77","-9.93","12.70","29.37","3.07","0.97","1.32","1","2.95","-0.10","19198"
"Yoan Moncada","White Sox","2.75","-8.48","11.23","31.97","3.26","0.94","1.18","1","3.36","-0.44","17232"
"Kevin Newman","Pirates","2.67","-8.80","11.48","15.87","1.55","1.03","1.94","7","1.21","1.39","17696"
"Wilson Ramos","Mets","2.67","-8.23","10.90","20.55","2.21","1.02","2.30","24","1.36","1.24","1433"
"George Springer","Astros","2.65","-8.95","11.60","38.03","3.93","0.94","2.83","3","3.42","-0.60","12856"
"Rafael Devers","Red Sox","2.63","-12.53","15.16","53.62","5.22","1.02","1.91","4","3.76","-1.17","17350"
"Josh Donaldson","Braves","2.62","-9.88","12.49","35.84","3.68","0.91","1.31","6","4.10","-1.23","5038"
"Michael Conforto","Mets","2.44","-10.66","13.10","38.94","4.36","1.01","2.18","5","3.72","-1.29","16376"
"Joc Pederson","Dodgers","2.43","-7.94","10.37","22.98","2.62","0.94","0.96","32","2.44","0.15","11899"
"Hunter Dozier","Royals","2.36","-10.15","12.51","12.54","1.27","1.01","1.24","1","1.59","0.74","15117"
"Trey Mancini","Orioles","2.35","-11.00","13.35","30.63","3.03","0.92","0.50","1","4.06","-1.51","15149"
"Evan Longoria","Giants","2.33","-8.52","10.85","13.70","1.40","1.04","0.93","12","0.87","1.36","9368"
"Yasmani Grandal","Brewers","2.32","-10.84","13.16","24.33","2.66","1.02","1.16","9","2.44","-0.15","11368"
"Tim Anderson","White Sox","2.30","-8.31","10.60","15.71","1.54","0.93","","0","1.88","0.59","15172"
"Jorge Soler","Royals","2.27","-12.05","14.32","40.55","4.05","1.00","4.61","1","4.12","-1.84","14221"
"Jeff McNeil","Mets","2.17","-9.37","11.55","35.76","3.88","1.01","2.14","7","3.69","-1.54","15362"
"Jean Segura","Phillies","2.15","-9.32","11.47","12.73","1.36","0.93","1.38","3","0.73","1.60","5933"
"Ryan Braun","Brewers","2.08","-8.88","10.96","18.99","1.91","0.99","1.44","31","2.14","-0.05","3410"
"Ozzie Albies","Braves","2.07","-10.45","12.52","31.97","3.31","0.89","1.74","2","3.08","-0.74","16556"
"Alex Gordon","Royals","1.94","-10.24","12.18","11.51","1.20","0.99","1.21","2","0.12","1.85","5209"
"Luke Voit","Yankees","1.94","-7.33","9.27","28.27","2.92","0.91","2.40","2","1.96","0.16","14811"
"Mike Moustakas","Brewers","1.82","-10.60","12.41","17.74","2.02","1.01","0.57","6","2.42","-0.63","4892"
"Jorge Polanco","Twins","1.77","-10.88","12.64","29.54","3.03","0.92","1.71","3","2.94","-1.03","13152"
"J.T. Realmuto","Phillies","1.71","-10.06","11.78","15.35","1.67","0.98","2.09","12","2.46","-0.71","11739"
"Adam Frazier","Pirates","1.69","-10.00","11.70","9.36","1.07","1.03","1.48","13","0.29","1.36","15223"
"Danny Santana","Rangers","1.59","-8.82","10.40","16.79","1.58","0.98","1.41","12","0.90","0.73","10322"
"Adam Eaton","Nationals","1.58","-9.86","11.44","12.86","1.35","0.92","1.65","7","1.71","0.01","11205"
"Daniel Vogelbach","Mariners","1.58","-8.86","10.44","13.62","1.38","0.94","1.77","11","1.46","0.22","14130"
"Corey Seager","Dodgers","1.56","-8.21","9.77","24.99","2.81","0.97","1.63","7","1.61","0.00","13624"
"David Fletcher","Angels","1.49","-9.70","11.18","12.23","1.40","0.93","","0","0.32","1.27","17992"
"Dexter Fowler","Cardinals","1.46","-8.77","10.23","16.11","1.76","0.93","0.98","11","0.57","1.00","4062"
"Trevor Story","Rockies","1.44","-11.46","12.90","30.53","2.69","0.97","2.38","1","2.29","-0.81","12564"
"Victor Robles","Nationals","1.39","-9.47","10.87","6.77","0.75","0.92","1.71","5","1.19","0.33","18363"
"Kyle Schwarber","Cubs","1.33","-9.93","11.26","21.12","2.22","0.95","0.96","14","3.29","-1.88","16478"
"Francisco Lindor","Indians","1.32","-10.33","11.65","12.10","1.12","0.91","2.81","1","1.67","-0.22","12916"
