"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Alex Bregman","Astros","18.8 %","58.8 %","35.1 %","77.0 %","91.7 %","87.0 %","40.6 %","55.2 %","4.6 %","17678"
"Tommy Pham","Rays","20.0 %","63.1 %","38.4 %","62.6 %","88.6 %","80.9 %","42.8 %","58.3 %","7.3 %","2967"
"Mike Trout","Angels","20.5 %","61.2 %","36.8 %","69.2 %","88.8 %","82.3 %","40.1 %","52.5 %","6.5 %","10155"
"Joey Votto","Reds","21.1 %","68.1 %","41.5 %","69.3 %","87.7 %","82.4 %","43.4 %","59.1 %","7.3 %","4314"
"Carlos Santana","Indians","21.2 %","66.2 %","39.4 %","66.2 %","87.6 %","80.7 %","40.4 %","54.4 %","7.6 %","2396"
"Mookie Betts","Red Sox","21.4 %","61.5 %","38.3 %","71.9 %","93.7 %","86.6 %","42.3 %","55.1 %","5.1 %","13611"
"Daniel Vogelbach","Mariners","22.0 %","52.2 %","34.1 %","64.4 %","81.1 %","74.6 %","40.1 %","52.0 %","8.7 %","14130"
"Shin-Soo Choo","Rangers","22.7 %","66.0 %","41.9 %","50.3 %","81.4 %","72.1 %","44.4 %","59.2 %","11.7 %","3174"
"George Springer","Astros","22.8 %","72.1 %","44.0 %","56.5 %","82.7 %","75.0 %","43.0 %","61.3 %","11.0 %","12856"
"Marcus Semien","Athletics","23.1 %","68.7 %","42.1 %","68.3 %","89.7 %","82.9 %","41.8 %","63.2 %","7.2 %","12533"
"Max Muncy","Dodgers","23.1 %","64.0 %","40.0 %","59.0 %","81.2 %","73.6 %","41.2 %","55.0 %","10.5 %","13301"
"Juan Soto","Nationals","23.4 %","68.6 %","40.8 %","62.1 %","86.6 %","77.9 %","38.5 %","55.5 %","9.0 %","20123"
"Anthony Rendon","Nationals","23.8 %","70.1 %","43.2 %","77.8 %","93.2 %","88.3 %","41.9 %","57.6 %","5.1 %","12861"
"Rhys Hoskins","Phillies","24.0 %","61.0 %","39.2 %","68.1 %","84.0 %","78.2 %","41.0 %","54.0 %","8.5 %","16472"
"Yasmani Grandal","Brewers","24.4 %","59.5 %","38.4 %","63.3 %","84.1 %","76.2 %","39.9 %","57.0 %","9.2 %","11368"
"Matt Chapman","Athletics","24.8 %","65.0 %","42.0 %","67.5 %","83.5 %","78.1 %","42.8 %","57.5 %","9.2 %","16505"
"Brett Gardner","Yankees","24.8 %","56.0 %","38.4 %","67.6 %","91.2 %","82.6 %","43.5 %","53.5 %","6.7 %","9927"
"David Fletcher","Angels","25.3 %","48.7 %","36.2 %","82.6 %","96.1 %","91.1 %","46.5 %","55.6 %","3.2 %","17992"
"Dexter Fowler","Cardinals","25.3 %","68.7 %","42.5 %","62.3 %","82.4 %","75.2 %","39.7 %","59.9 %","10.6 %","4062"
"Josh Donaldson","Braves","25.7 %","71.8 %","43.8 %","62.4 %","76.6 %","71.6 %","39.3 %","58.4 %","12.5 %","5038"
"Jose Ramirez","Indians","26.4 %","64.2 %","42.3 %","76.8 %","92.3 %","86.7 %","42.1 %","56.6 %","5.6 %","13510"
"Kyle Schwarber","Cubs","26.4 %","66.8 %","43.0 %","60.3 %","81.6 %","73.9 %","41.1 %","55.6 %","11.2 %","16478"
"Domingo Santana","Mariners","26.4 %","71.7 %","46.7 %","51.9 %","78.1 %","69.9 %","44.9 %","62.1 %","14.1 %","10348"
"Luke Voit","Yankees","26.6 %","78.6 %","47.4 %","44.2 %","78.1 %","66.7 %","40.1 %","59.8 %","15.8 %","14811"
"Eugenio Suarez","Reds","26.6 %","68.6 %","44.4 %","51.3 %","84.6 %","73.1 %","42.3 %","61.8 %","12.0 %","12552"
"Ronald Acuna Jr.","Braves","26.7 %","71.5 %","45.3 %","63.2 %","80.0 %","74.2 %","41.6 %","61.4 %","11.7 %","18401"
"Brandon Belt","Giants","26.8 %","75.1 %","46.0 %","66.7 %","86.8 %","79.8 %","39.9 %","58.3 %","9.3 %","10264"
"Cody Bellinger","Dodgers","26.8 %","70.4 %","44.4 %","69.5 %","83.0 %","78.1 %","40.4 %","53.9 %","9.7 %","15998"
"Jorge Soler","Royals","27.1 %","70.7 %","44.0 %","47.2 %","83.7 %","69.9 %","38.8 %","61.3 %","13.2 %","14221"
"Michael Conforto","Mets","27.3 %","72.4 %","45.7 %","63.4 %","81.8 %","75.3 %","40.8 %","60.0 %","11.3 %","16376"
"Austin Meadows","Rays","27.4 %","62.2 %","42.2 %","63.2 %","87.9 %","78.6 %","42.5 %","60.9 %","9.0 %","15672"
