Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,playerid
Gerrit Cole,Astros,20,5,0,33,33,212.1,13.82,2.03,1.23,0.275,83.30%,40.30%,16.90%,2.5,2.64,2.48,7.4,13125
Jacob deGrom,Mets,11,8,0,32,32,204,11.25,1.94,0.84,0.282,81.80%,44.40%,11.20%,2.43,2.67,3.11,7,10954
Lance Lynn,Rangers,16,11,0,33,33,208.1,10.63,2.55,0.91,0.322,74.40%,40.30%,9.90%,3.67,3.13,3.85,6.8,2520
Max Scherzer,Nationals,11,7,0,27,27,172.1,12.69,1.72,0.94,0.321,78.70%,40.80%,11.60%,2.92,2.45,2.88,6.5,3137
Justin Verlander,Astros,21,6,0,34,34,223,12.11,1.7,1.45,0.218,88.40%,35.90%,16.00%,2.58,3.27,3.18,6.4,8700
Charlie Morton,Rays,16,6,0,33,33,194.2,11.1,2.64,0.69,0.298,75.30%,48.20%,10.40%,3.05,2.81,3.28,6.1,4676
Stephen Strasburg,Nationals,18,6,0,33,33,209,10.81,2.41,1.03,0.274,76.50%,51.10%,16.20%,3.32,3.25,3.17,5.7,10131
Shane Bieber,Indians,15,8,0,34,33,214.1,10.88,1.68,1.3,0.296,77.40%,43.90%,16.10%,3.28,3.32,3.23,5.6,19427
Zack Greinke,- - -,18,5,0,33,33,208.2,8.07,1.29,0.91,0.271,75.70%,45.20%,10.90%,2.93,3.22,3.74,5.4,1943
Lucas Giolito,White Sox,14,9,0,29,29,176.2,11.62,2.9,1.22,0.273,77.70%,36.00%,13.60%,3.41,3.43,3.66,5.1,15474
Walker Buehler,Dodgers,14,4,0,30,30,182.1,10.61,1.83,0.99,0.29,71.00%,42.70%,12.20%,3.26,3.01,3.37,5,19374
Hyun-Jin Ryu,Dodgers,14,5,0,29,29,182.2,8.03,1.18,0.84,0.278,82.20%,50.40%,13.00%,2.32,3.1,3.32,4.8,14444
Patrick Corbin,Nationals,14,7,0,33,33,202,10.6,3.12,1.07,0.29,77.30%,49.50%,14.40%,3.25,3.49,3.59,4.8,9323
Jack Flaherty,Cardinals,11,8,0,33,33,196.1,10.59,2.52,1.15,0.242,83.30%,39.50%,13.80%,2.75,3.46,3.64,4.7,17479
Zack Wheeler,Mets,11,8,0,31,31,195.1,8.98,2.3,1.01,0.311,71.40%,43.20%,10.90%,3.96,3.48,4.06,4.7,10310
Jose Berrios,Twins,14,8,0,32,32,200.1,8.76,2.29,1.17,0.299,73.50%,42.10%,12.00%,3.68,3.85,4.32,4.4,14168
Noah Syndergaard,Mets,10,8,0,32,32,197.2,9.2,2.28,1.09,0.313,68.90%,48.00%,13.30%,4.28,3.6,3.83,4.4,11762
Sonny Gray,Reds,11,8,0,31,31,175.1,10.52,3.49,0.87,0.255,79.70%,50.80%,13.00%,2.87,3.42,3.65,4.4,12768
Mike Minor,Rangers,14,10,0,32,32,208.1,8.64,2.94,1.3,0.287,80.30%,40.00%,12.90%,3.59,4.25,4.6,4.2,10021
Kyle Hendricks,Cubs,11,10,0,30,30,177,7.63,1.63,0.97,0.287,71.80%,41.30%,10.40%,3.46,3.61,4.26,4.1,12049
Luis Castillo,Reds,15,8,0,32,32,190.2,10.67,3.73,1.04,0.262,76.70%,55.20%,17.90%,3.4,3.7,3.48,4.1,15689
Mike Soroka,Braves,13,4,0,29,29,174.2,7.32,2.11,0.72,0.28,79.90%,51.20%,11.10%,2.68,3.45,3.85,4,18383
Marcus Stroman,- - -,10,13,0,32,32,184.1,7.76,2.83,0.88,0.307,76.10%,53.70%,12.60%,3.22,3.72,3.99,3.9,13431
Eduardo Rodriguez,Red Sox,19,6,0,34,34,203.1,9.43,3.32,1.06,0.317,77.70%,48.50%,13.30%,3.81,3.86,4.1,3.7,13164
Marco Gonzales,Mariners,16,13,0,34,34,203,6.52,2.48,1.02,0.295,69.20%,40.70%,9.30%,3.99,4.15,5.11,3.7,15467
Jose Quintana,Cubs,13,9,0,32,31,171,8,2.42,1.05,0.326,65.90%,44.50%,12.10%,4.68,3.8,4.2,3.5,11423
Aaron Nola,Phillies,12,7,0,34,34,202.1,10.19,3.56,1.2,0.295,76.80%,49.70%,17.40%,3.87,4.03,3.82,3.4,16149
German Marquez,Rockies,12,5,0,28,28,174,9.05,1.81,1.5,0.304,68.10%,49.00%,20.10%,4.76,4.06,3.54,3.4,15038
Clayton Kershaw,Dodgers,16,5,0,29,28,178.1,9.54,2.07,1.41,0.262,84.00%,48.00%,18.50%,3.03,3.86,3.5,3.4,2036
Joe Musgrove,Pirates,11,12,0,32,31,170.1,8.3,2.06,1.11,0.299,63.20%,44.50%,11.70%,4.44,3.82,4.31,3.3,12970
Matthew Boyd,Tigers,9,12,0,32,32,185.1,11.56,2.43,1.89,0.307,74.40%,35.60%,18.20%,4.56,4.32,3.88,3.3,15440
Trevor Bauer,- - -,11,13,0,34,34,213,10.69,3.46,1.44,0.287,70.40%,37.60%,15.30%,4.48,4.34,4.33,3.3,12703
Masahiro Tanaka,Yankees,11,9,0,32,31,182,7.37,1.98,1.38,0.293,70.40%,47.50%,15.10%,4.45,4.27,4.29,3.3,15764
Madison Bumgarner,Giants,9,9,0,34,34,207.2,8.8,1.86,1.3,0.289,71.80%,35.80%,12.60%,3.9,3.9,4.31,3.2,5524
